space_no,pos_x,pos_y,map_pos_x,map_pos_y
2,17,39,251,537
3,17,38,251,524
4,17,37,251,511
5,17,36,251,498
6,17,35,251,485
7,17,34,251,472
8,17,32,251,446
9,17,31,251,433
10,17,30,251,420
11,17,29,251,407
12,17,28,251,394
13,17,27,251,381
14,17,26,251,368
15,17,25,251,355
16,17,20,251,290
17,17,19,251,277
18,17,18,251,264
19,17,17,251,251
20,17,16,251,238
21,17,15,251,225
22,17,14,251,212
23,17,12,251,186
24,17,11,251,173
25,17,10,251,160
26,17,9,251,147
27,17,8,251,134
28,17,7,251,121
29,17,6,251,108
30,16,6,238,108
31,16,7,238,121
32,16,8,238,134
33,16,9,238,147
34,16,10,238,160
35,16,11,238,173
36,16,12,238,186
37,16,14,238,212
38,16,15,238,225
39,16,16,238,238
40,16,17,238,251
41,16,18,238,264
42,16,19,238,277
43,16,20,238,290
44,16,25,238,355
45,16,26,238,368
46,16,27,238,381
47,16,28,238,394
48,16,29,238,407
49,16,30,238,420
50,16,31,238,433
51,16,32,238,446
52,16,34,238,472
53,16,35,238,485
54,16,36,238,498
55,16,37,238,511
56,16,38,238,524
57,16,39,238,537
58,16,40,238,550
1,14,40,212,550
2,14,39,212,537
3,14,38,212,524
4,14,37,212,511
5,14,36,212,498
6,14,35,212,485
7,14,34,212,472
8,14,32,212,446
9,14,31,212,433
10,14,30,212,420
11,14,29,212,407
12,14,28,212,394
13,14,27,212,381
14,14,26,212,368
15,14,25,212,355
16,14,20,212,290
17,14,19,212,277
18,14,18,212,264
19,14,17,212,251
20,14,16,212,238
21,14,15,212,225
22,14,14,212,212
23,14,12,212,186
24,14,11,212,173
25,14,10,212,160
26,14,9,212,147
27,14,8,212,134
28,14,7,212,121
29,14,6,212,108
30,13,6,199,108
31,13,7,199,121
32,13,8,199,134
33,13,9,199,147
34,13,10,199,160
35,13,11,199,173
36,13,12,199,186
37,13,14,199,212
38,13,15,199,225
39,13,16,199,238
40,13,17,199,251
41,13,18,199,264
42,13,19,199,277
43,13,20,199,290
44,13,25,199,355
45,13,26,199,368
46,13,27,199,381
47,13,28,199,394
48,13,29,199,407
49,13,30,199,420
50,13,31,199,433
51,13,32,199,446
52,13,34,199,472
53,13,35,199,485
54,13,36,199,498
55,13,37,199,511
56,13,38,199,524
57,13,39,199,537
58,13,40,199,550
1,10,40,160,550
2,10,39,160,537
3,10,38,160,524
4,10,37,160,511
5,10,36,160,498
6,10,35,160,485
7,10,34,160,472
8,10,32,160,446
9,10,31,160,433
10,10,30,160,420
11,10,29,160,407
12,10,28,160,394
13,10,27,160,381
14,10,26,160,368
15,10,25,160,355
16,10,20,160,290
17,10,19,160,277
18,10,18,160,264
19,10,17,160,251
20,10,16,160,238
21,10,15,160,225
22,10,14,160,212
23,10,12,160,186
24,10,11,160,173
25,10,10,160,160
26,10,9,160,147
27,10,8,160,134
28,10,7,160,121
29,10,6,160,108
30,9,6,147,108
31,9,7,147,121
32,9,8,147,134
33,9,9,147,147
34,9,10,147,160
35,9,11,147,173
36,9,12,147,186
37,9,14,147,212
38,9,15,147,225
39,9,16,147,238
40,9,17,147,251
41,9,18,147,264
42,9,19,147,277
43,9,20,147,290
44,9,25,147,355
45,9,26,147,368
46,9,27,147,381
47,9,28,147,394
48,9,29,147,407
49,9,30,147,420
50,9,31,147,433
51,9,32,147,446
52,9,34,147,472
53,9,35,147,485
54,9,36,147,498
55,9,37,147,511
56,9,38,147,524
57,9,39,147,537
58,9,40,147,550
1,7,40,121,550
2,7,39,121,537
3,7,38,121,524
4,7,37,121,511
5,7,36,121,498
6,7,35,121,485
7,7,34,121,472
8,7,32,121,446
9,7,31,121,433
10,7,30,121,420
11,7,29,121,407
12,7,28,121,394
13,7,27,121,381
14,7,26,121,368
15,7,25,121,355
16,7,20,121,290
17,7,19,121,277
18,7,18,121,264
19,7,17,121,251
20,7,16,121,238
21,7,15,121,225
22,7,14,121,212
23,7,12,121,186
24,7,11,121,173
25,7,10,121,160
26,7,9,121,147
27,7,8,121,134
28,7,7,121,121
29,7,6,121,108
30,6,6,108,108
31,6,7,108,121
32,6,8,108,134
33,6,9,108,147
34,6,10,108,160
35,6,11,108,173
36,6,12,108,186
37,6,14,108,212
38,6,15,108,225
39,6,16,108,238
40,6,17,108,251
41,6,18,108,264
42,6,19,108,277
43,6,20,108,290
44,6,25,108,355
45,6,26,108,368
46,6,27,108,381
47,6,28,108,394
48,6,29,108,407
49,6,30,108,420
50,6,31,108,433
51,6,32,108,446
52,6,34,108,472
53,6,35,108,485
54,6,36,108,498
55,6,37,108,511
56,6,38,108,524
57,6,39,108,537
58,6,40,108,550
1,4,40,82,550
2,4,39,82,537
3,4,38,82,524
4,4,37,82,511
5,4,36,82,498
6,4,35,82,485
7,4,34,82,472
8,4,32,82,446
9,4,31,82,433
10,4,30,82,420
11,4,29,82,407
12,4,28,82,394
13,4,27,82,381
14,4,26,82,368
15,4,25,82,355
16,4,20,82,290
17,4,19,82,277
18,4,18,82,264
19,4,17,82,251
20,4,16,82,238
21,4,15,82,225
22,4,14,82,212
23,4,12,82,186
24,4,11,82,173
25,4,10,82,160
26,4,9,82,147
27,4,8,82,134
28,4,7,82,121
29,4,6,82,108
30,3,6,69,108
31,3,7,69,121
32,3,8,69,134
33,3,9,69,147
34,3,10,69,160
35,3,11,69,173
36,3,12,69,186
37,3,14,69,212
38,3,15,69,225
39,3,16,69,238
40,3,17,69,251
41,3,18,69,264
42,3,19,69,277
43,3,20,69,290
44,3,25,69,355
45,3,26,69,368
46,3,27,69,381
47,3,28,69,394
48,3,29,69,407
49,3,30,69,420
50,3,31,69,433
51,3,32,69,446
52,3,34,69,472
53,3,35,69,485
54,3,36,69,498
55,3,37,69,511
56,3,38,69,524
57,3,39,69,537
58,3,40,69,550
